Fuel Loadings = tons / acre

Macroplot,MonStatusOrd,MonStatus,OneHr,TenHr,HunHr,FineWood,>3_Snd,>3_Rot,3_<6_DC1,6_<9_DC1,9_<12_DC1,12_<20_DC1,>20_DC1,3_<6_DC2,6_<9_DC2,9_<12_DC2,12_<20_DC2,>20_DC2,3_<6_DC3,6_<9_DC3,9_<12_DC3,12_<20_DC3,>20_DC3,3_<6_DC4,6_<9_DC4,9_<12_DC4,12_<20_DC4,>20_DC4,3_<6_DC5,6_<9_DC5,9_<12_DC5,12_<20_DC5,>20_DC5,3_<6_Snd,6_<12_Snd,12_<20_Snd,20_<35_Snd,35_<50_Snd,50>_Snd,3_<6_Rot,6_<12_Rot,12_<20_Rot,20_<35_Rot,35_<50_Rot,50>_Rot,TotalWood,Duff,Litter,TotalAll,DuffDep,LittDep,TotDep,FuelBedDep
"PSME-03",7,"01Year20",0.0094322718232632,0.844191657161432,6.74661942157548,7.60024335056017,6.08510575504811,37.2577293656793,0,0,0,0,0,0,0,0,0,0,6.08510575504811,0,0,0,0,1.40392496613395,1.67889639296576,6.37836461033242,27.7965433962471,0,0,0,0,0,0,6.08510575504811,0,0,0,0,0,1.40392496613395,8.05726100329818,27.7965433962471,0,0,0,50.9430784712875,0.3993,3.51883125,54.8612097212875,0.04,0.705,0.745,0
"PSME-04",0,"00PR01",0.197588882366692,0.769343932676195,0.309122279796073,1.27605509483896,2.33118877300928,7.71767848121535,0,0,0,0,0,0,0,0,0,0,1.18087007360421,1.15031869940506,0,0,0,0.886193960258746,1.12684280758047,0,5.70464171337614,0,0,0,0,0,0,1.18087007360421,1.15031869940506,0,0,0,0,0.886193960258746,1.12684280758047,5.70464171337614,0,0,0,11.3249223490636,22.2110625,6.800578125,40.3365629740636,2.225,1.3625,3.5875,0
"PSME-04",1,"00PR02",0.136791269726765,2.46201686527001,1.22763252851894,3.82644066351571,0,10.234280418017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933601594949694,0.814143928476891,2.13043718308183,6.3560977115086,0,0,0,0,0,0,0,0,0,0,0,0,0.933601594949694,2.94458111155872,6.3560977115086,0,0,0,14.0607210815327,16.271475,6.46366875,36.7958648315327,1.63,1.295,2.925,0
"PSME-04",2,"01Pre",0.249642002598578,1.61596328961151,1.53070159615506,3.39630688836514,4.09825950599423,5.35890472034793,0,0,0,0,0,0,0,0,0,0,1.22927326405232,2.86898624194191,0,0,0,0.641993539756488,1.50805021681736,0,3.20886096377408,0,0,0,0,0,0,1.22927326405232,2.86898624194191,0,0,0,0,0.641993539756488,1.50805021681736,3.20886096377408,0,0,0,12.8534711147073,17.19485625,5.690025,35.7383523647073,1.7225,1.14,2.8625,0
"PSME-04",3,"01Post",0.153225980446714,0.845165931470559,2.75372905941626,3.75212097133354,4.46886785622618,1.5228224129318,0,0,0,0,0,0,0,0,0,0,3.04059459761793,1.42827325860825,0,0,0,0,0,1.5228224129318,0,0,0,0,0,0,0,3.04059459761793,1.42827325860825,0,0,0,0,0,1.5228224129318,0,0,0,0,9.74381124049151,5.091075,4.19265,19.0275362404915,0.51,0.84,1.35,0
"PSME-04",4,"01Year01",0.209449782693692,0.693369952046576,3.06774324930474,3.970562984045,8.7649475261893,0.912742674140182,0,0,0,0,0,0,0,0,0,0,1.21204884946294,1.39188562628013,0,6.16101305044623,0,0,0.912742674140182,0,0,0,0,0,0,0,0,1.21204884946294,1.39188562628013,6.16101305044623,0,0,0,0,0.912742674140182,0,0,0,0,13.6482531843745,3.5437875,7.075096875,24.2671375593745,0.355,1.4175,1.7725,0
"PSME-04",6,"01Year10",0.30463534730675,0.998029199221109,2.75111961044649,4.05378415697435,13.8383900451349,0.28545343267048,0,0,0,0,0,0,0,0,0,0,3.88385129561038,2.84293722270926,7.1116015268153,0,0,0.28545343267048,0,0,0,0,0,0,0,0,0,3.88385129561038,9.95453874952456,0,0,0,0,0.28545343267048,0,0,0,0,0,18.1776276347798,5.86471875,4.0241953125,28.0665416972798,0.5875,0.80625,1.39375,0
"PSME-04",7,"01Year20",0.30462724055947,2.84476506023927,3.67429222705015,6.82368452784889,10.116882191607,14.5604382612166,0,0,0,0,0,0,0,0,0,0,1.37211248694604,2.34758918245932,2.11869923716953,4.2784812850321,0,1.82655009910547,0.745937792518627,3.01147623159041,8.97647413800213,0,0,0,0,0,0,1.37211248694604,4.46628841962885,4.2784812850321,0,0,0,1.82655009910547,3.75741402410904,8.97647413800213,0,0,0,31.5010049806725,5.9895,3.132009375,40.6225143556725,0.6,0.6275,1.2275,0
"PSME-05",0,"00PR01",0.184142377320623,0.937409012293194,0.635006903525979,1.7565582931398,4.64388540193452,5.81713620524162,0,0,0,0,0,0,0,0,0,0,0.382205138421974,4.26168026351255,0,0,0,2.37477447812587,3.44236172711575,0,0,0,0,0,0,0,0,0.382205138421974,4.26168026351255,0,0,0,0,2.37477447812587,3.44236172711575,0,0,0,0,12.2175799003159,11.1804,3.01970625,26.4176861503159,1.12,0.605,1.725,0
"PSME-05",1,"00PR02",0.33528535229833,4.31956265013664,2.50634972889884,7.1611977313338,3.48721169513901,6.18091628377605,0,0,0,0,0,0,0,0,0,0,0.292625809104324,3.19458588603468,0,0,0,3.96485585147793,2.21606043229811,0,0,0,0,0,0,0,0,0.292625809104324,3.19458588603468,0,0,0,0,3.96485585147793,2.21606043229811,0,0,0,0,16.8293257102489,15.1234875,3.681046875,35.6338600852489,1.515,0.7375,2.2525,0
