Fuel Loadings = tons / acre

Macroplot,MonStatusOrd,MonStatus,OneHr,TenHr,HunHr,FineWood,>3_Snd,>3_Rot,3_<6_DC1,6_<9_DC1,9_<12_DC1,12_<20_DC1,>20_DC1,3_<6_DC2,6_<9_DC2,9_<12_DC2,12_<20_DC2,>20_DC2,3_<6_DC3,6_<9_DC3,9_<12_DC3,12_<20_DC3,>20_DC3,3_<6_DC4,6_<9_DC4,9_<12_DC4,12_<20_DC4,>20_DC4,3_<6_DC5,6_<9_DC5,9_<12_DC5,12_<20_DC5,>20_DC5,3_<6_Snd,6_<12_Snd,12_<20_Snd,20_<35_Snd,35_<50_Snd,50>_Snd,3_<6_Rot,6_<12_Rot,12_<20_Rot,20_<35_Rot,35_<50_Rot,50>_Rot,TotalWood,Duff,Litter,TotalAll,DuffDep,LittDep,TotDep,FuelBedDep
"NORTHEAST-003",0,"00PRE",0.334587631936429,1.94895127960667,11.0790606601467,13.3625995716898,14.1103687749065,1.83254927250171,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1103687749065,0,1.83254927250171,0,0,0,0,0,0,0,0,0,0,0,14.1103687749065,0,0,0,1.83254927250171,0,0,0,0,0,29.3055176190979,0,2.9475826875,32.2531003065979,0,0.59055,0.59055,0
"NORTHEAST-003",1,"01POST",0.378229496971616,1.67052966823429,1.10790606601467,3.15666523122057,15.8870125020279,0,0,0,0,0,0,0,0,0,0,0,1.77664372712142,0,0,14.1103687749065,0,0,0,0,0,0,0,0,0,0,0,1.77664372712142,0,14.1103687749065,0,0,0,0,0,0,0,0,0,19.0436777332485,4.667005921875,3.3160305234375,27.026714178561,0.46751875,0.66436875,1.1318875,0
"NORTHEAST-003",15,"02YR05",0.465937874630204,1.53752050431753,3.67089670581001,5.67435508475774,16.9076878926573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9076878926573,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9076878926573,0,0,0,0,0,0,0,0,0,22.5820429774151,5.9895,2.894925,31.4664679774151,0.6,0.58,1.18,0
"NORTHEAST-003",25,"03YR05",0.305269641999099,0.922512302590516,2.44726447054001,3.67504641512962,0,11.7520954369728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7520954369728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7520954369728,0,0,0,15.4271418521024,10.58145,3.8432625,29.8518543521024,1.06,0.77,1.83,0
"NORTHEAST-004",0,"00PRE",0.543592228177659,1.40592584520622,1.11890292179042,3.0684209951743,0,6.35274626480176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35274626480176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35274626480176,0,0,0,0,9.42116725997606,9.825275625,2.6200735,21.8665163849761,0.98425,0.524933333333333,1.50918333333333,0
"NORTHEAST-004",1,"01POST",0.51420886449238,1.12474067616498,4.47561168716168,6.11456122781904,2.39172854128342,6.29969642379214,0,0,0,0,0,0,0,0,0,0,2.39172854128342,0,0,0,0,0,0,6.29969642379214,0,0,0,0,0,0,0,2.39172854128342,0,0,0,0,0,0,6.29969642379214,0,0,0,0,14.8059861928946,5.747786240625,4.667005921875,25.2207783553946,0.57578625,0.9350375,1.51082375,0
"NORTHEAST-004",15,"02YR05",0,1.52081399157988,1.21033639468295,2.73115038626283,16.6550484107122,45.1047062358666,0,0,0,0,0,0,0,0,0,0,4.33746563296537,4.43432979998887,7.88325297775798,0,0,3.92579292311554,2.951330088997,9.39954974616417,28.8280334775899,0,0,0,0,0,0,4.33746563296537,12.3175827777469,0,0,0,0,3.92579292311554,12.3508798351612,28.8280334775899,0,0,0,64.4909050328416,0,0.3493875,64.8402925328416,0,0.07,0.07,0
"NORTHEAST-004",25,"03YR05",0.0476767292862067,1.82497678989586,0,1.87265351918206,1.56566023813932,45.595081081423,0,0,0,0,0,0,0,0,0,0,1.56566023813932,0,0,0,0,6.26869496299623,2.68518647623774,0,36.641199642189,0,0,0,0,0,0,1.56566023813932,0,0,0,0,0,6.26869496299623,2.68518647623774,36.641199642189,0,0,0,49.0333948387444,0.099825,2.5455375,51.6787573387444,0.01,0.51,0.52,0
"NORTHEAST-007",1,"01POST",1.00296156815272,2.78199340815949,0,3.78495497631221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78495497631221,0,0,3.78495497631221,0,0,0,0
"NORTHEAST-007",15,"02YR05",0.588365555565574,1.82607101011403,3.6331862657978,6.0476228314774,0,1.35318364959303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35318364959303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35318364959303,0,0,0,0,0,7.40080648107042,2.894925,3.8432625,14.1389939810704,0.29,0.77,1.06,0
