Fuel Loadings = tons / acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macroplot,MonStatusOrd,MonStatus,OneHr,TenHr,HunHr,FineWood,ThSound,ThRotten,ThousandHourDc1Sz1,ThousandHourDc1Sz2,ThousandHourDc1Sz3,ThousandHourDc1Sz4,ThousandHourDc1Sz5,ThousandHourDc2Sz1,ThousandHourDc2Sz2,ThousandHourDc2Sz3,ThousandHourDc2Sz4,ThousandHourDc2Sz5,ThousandHourDc3Sz1,ThousandHourDc3Sz2,ThousandHourDc3Sz3,ThousandHourDc3Sz4,ThousandHourDc3Sz5,ThousandHourDc4Sz1,ThousandHourDc4Sz2,ThousandHourDc4Sz3,ThousandHourDc4Sz4,ThousandHourDc4Sz5,ThousandHourDc5Sz1,ThousandHourDc5Sz2,ThousandHourDc5Sz3,ThousandHourDc5Sz4,ThousandHourDc5Sz5,Th_3_6_Snd,Th_6_12_Snd,Th_12_20_Snd,Th_20_35_Snd,Th_35_50_Snd,Th_GT_50_Snd,Th_3_6_Rot,Th_6_12_Rot,Th_12_20_Rot,Th_20_35_Rot,Th_35_50_Rot,Th_GT_50_Rot,TotalWood,Duff,Litter,TotalAll,DuffDep,LittDep,TotDep,FuelBedDep
PIAB 04,8,01Year2,0.265343009,0.580151167,0.298297016,1.143791192,1.685353436,0.741364249,0,0,0,0,0,0,0,0,0,0,0.616326661,1.069026775,0,0,0,0,0.741364249,0,0,0,0,0,0,0,0,0.616326661,1.069026775,0,0,0,0,0,0.741364249,0,0,0,0,3.570508877,3.087315,1.641486,8.299309877,0.175,0.38,0.555,0
PIAB 04,9,01Year5,0.537489685,3.132816302,6.860831362,10.53113735,72.86290146,3.110220428,0,0,0,0,0,0,0,0,0,0,1.499910016,4.456096302,2.639841628,25.55846667,38.70858685,0,0.987023408,2.12319702,0,0,0,0,0,0,0,1.499910016,7.095937929,25.55846667,38.70858685,0,0,0,3.110220428,0,0,0,0,86.50425924,2.028807,1.73867925,90.27174549,0.115,0.4025,0.5175,0
PIAB 04,10,01Year10,0.333379678,3.770982586,3.579564189,7.683926453,57.92859741,14.06398687,0,0,0,0,0,0,0,0,0,0,5.366296241,2.13805355,7.003216219,43.4210314,0,0.886127682,1.982820357,7.755810601,3.43922823,0,0,0,0,0,0,5.366296241,9.141269769,43.4210314,0,0,0,0.886127682,9.738630958,3.43922823,0,0,0,79.67651074,4.322241,2.8726005,86.87135224,0.245,0.665,0.91,0
PIAB 04,13,02Post,0,0.058015117,0.596594032,0.654609148,1.227199106,15.57303602,0,0,0,0,0,0,0,0,0,0,0,1.227199106,0,0,0,1.316031213,3.09706012,1.754708283,9.405236399,0,0,0,0,0,0,0,1.227199106,0,0,0,0,1.316031213,4.851768404,9.405236399,0,0,0,17.45484427,0,0,17.45484427,0,0,0,0
PIAB 04,14,02Year1,0.013607334,0.52213605,0.298297016,0.8340404,3.774319027,8.54542934,0,0,0,0,0,0,0,0,0,0,0.196351857,1.396279871,2.181687299,0,0,0,0.859807059,4.246394046,3.439228236,0,0,0,0,0,0,0.196351857,3.577967171,0,0,0,0,0,5.106201105,3.439228236,0,0,0,13.15378877,0.264627,0.22678425,13.64520002,0.015,0.0525,0.0675,0
PIAB 04,15,02Year2,0.013707639,0.058870423,0.299314217,0.371892278,5.613573629,4.278815629,0,0,0,0,0,0,0,0,0,0,0.268168047,2.157459422,0,3.18794616,0,0.218120758,0.862739025,0,3.197955847,0,0,0,0,0,0,0.268168047,2.157459422,3.18794616,0,0,0,0.218120758,0.862739025,3.197955847,0,0,0,10.26428154,0.352836,0.76674675,11.38386429,0.02,0.1775,0.1975,0
PIAB 04,16,02Year5,0.061529703,0.465703599,0.59650163,1.123734932,10.85154425,4.554481427,0,0,0,0,0,0,0,0,0,0,0.350260306,2.672179896,4.676761294,3.152342754,0,0,0,1.589024428,2.965456999,0,0,0,0,0,0,0.350260306,7.34894119,3.152342754,0,0,0,0,1.589024428,2.965456999,0,0,0,16.52976061,2.0729115,1.079925,19.68259711,0.1175,0.25,0.3675,0
PIAB 05,0,PR01,0.47396825,1.039228109,2.374844623,3.888040982,7.630201906,2.275105665,0,0,0,0,0,0,0,0,0,0,0.917863247,1.495804523,0,5.216534136,0,1.072045727,1.203059938,0,0,0,0,0,0,0,0,0.917863247,1.495804523,5.216534136,0,0,0,1.072045727,1.203059938,0,0,0,0,13.79334855,20.905533,4.017321,38.71620255,1.185,0.93,2.115,0
PIAB 05,5,Pre,0.446885259,2.251681106,3.562066608,6.260632973,7.935441875,4.073359421,0,0,0,0,0,0,0,0,0,0,0.890230591,2.790112951,0,4.255098332,0,0.650515063,0,0,3.422844358,0,0,0,0,0,0,0.890230591,2.790112951,4.255098332,0,0,0,0.650515063,0,3.422844358,0,0,0,18.26943427,20.9496375,4.15771125,43.37678302,1.1875,0.9625,2.15,0
PIAB 05,6,01Post,0.03385357,0.173181596,0.890449873,1.097485039,1.574188241,1.746349162,0,0,0,0,0,0,0,0,0,0,0.656816473,0.917371768,0,0,0,0,0,1.746349162,0,0,0,0,0,0,0,0.656816473,0.917371768,0,0,0,0,0,1.746349162,0,0,0,0,4.418022442,1.0144035,1.2743115,6.706737442,0.0575,0.295,0.3525,0
PIAB 05,7,01Year1,0.243757412,0.173181596,0.593633249,1.010572256,1.606757653,1.925349952,0,0,0,0,0,0,0,0,0,0,0.542823531,1.063934121,0,0,0,0,0,1.925349952,0,0,0,0,0,0,0,0.542823531,1.063934121,0,0,0,0,0,1.925349952,0,0,0,0,4.542679861,1.6318665,0.950334,7.124880361,0.0925,0.22,0.3125,0
PIAB 05,8,01Year2,0.223439584,0.519637143,1.484261194,2.227337921,1.221352945,1.135126956,0,0,0,0,0,0,0,0,0,0,0,1.221352945,0,0,0,0.279415866,0.85571109,0,0,0,0,0,0,0,0,0,1.221352945,0,0,0,0,0.279415866,0.85571109,0,0,0,0,4.583817822,1.852389,2.14905075,8.585257572,0.105,0.4975,0.6025,0
PIAB 05,9,01Year5,0.670320105,1.67433408,7.718478744,10.06313293,22.3332308,0,0,0,0,0,0,0,0,0,0,0,0.751453608,4.738321975,4.35308576,12.49036946,0,0,0,0,0,0,0,0,0,0,0,0.751453608,9.091407735,12.49036946,0,0,0,0,0,0,0,0,0,32.39636373,6.1305255,4.65447675,43.18136598,0.3475,1.0775,1.425,0
PIAB 05,10,01Year10,0.169273602,1.732064165,6.5309303,8.432268067,16.79967284,4.3656608,0,0,0,0,0,0,0,0,0,0,1.226663157,5.965033164,1.959592951,7.648383568,0,0,0,1.414330711,2.951330089,0,0,0,0,0,0,1.226663157,7.924626115,7.648383568,0,0,0,0,1.414330711,2.951330089,0,0,0,29.59760171,4.145823,2.17064925,35.91407396,0.235,0.5025,0.7375,0
PIAB 05,13,02Post,0.020310043,0,2.968240446,2.98855049,0,2.484181687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737832522,1.746349165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.484181687,0,0,0,0,5.472732177,0.3969405,0.59395875,6.463631427,0.0225,0.1375,0.16,0
PIAB 05,14,02Year1,0.094789792,0.519564992,0.296816624,0.911171408,0,1.414542824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.414542824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.414542824,0,0,0,0,2.325714231,1.4554485,0.57236025,4.353522981,0.0825,0.1325,0.215,0
PIAB 05,15,02Year2,0.047396757,0.346377623,1.187296179,1.581070559,0.195416472,1.746349165,0,0,0,0,0,0,0,0,0,0,0.195416472,0,0,0,0,0,0,1.746349165,0,0,0,0,0,0,0,0.195416472,0,0,0,0,0,0,1.746349165,0,0,0,0,3.522836195,0.441045,1.8790695,5.842950695,0.025,0.435,0.46,0
